H	355_Anlg	353_Anlg	460_Anlg	532_Anlg	530_Anlg	355_Anlg_Molec	532_Anlg_Molec		MolecExt355_Anlg	MolecBack355_Anlg	MolecExt353_Anlg	MolecBack353_Anlg	MolecExt460_Anlg	MolecBack460_Anlg	MolecExt532_Anlg	MolecBack532_Anlg	MolecExt530_Anlg	MolecBack530_Anlg
6513.75	0.0092414986	0.001917338	-2.4732263E-5	0.0058446375	0.0015164859	0.0090292048	0.0057193541		4.9526168E-5	5.8304166E-6	5.0715178E-5	5.9703915E-6	1.6893856E-5	1.9888116E-6	9.310786E-6	1.0961026E-6	9.4550889E-6	1.1130905E-6
6517.5	0.0092879543	0.0019576174	6.1630205E-5	0.005638475	0.001629577	0.0090135726	0.0057111744		4.9515754E-5	5.8291905E-6	5.0704513E-5	5.969136E-6	1.6890304E-5	1.9883934E-6	9.3088281E-6	1.0958721E-6	9.4531007E-6	1.1128564E-6
6521.25	0.0094484863	0.0020578501	7.9041134E-5	0.005703593	0.0016305088	0.0089979781	0.0057030127		4.9505363E-5	5.8279673E-6	5.0693874E-5	5.9678834E-6	1.6886759E-5	1.9879762E-6	9.3068747E-6	1.0956421E-6	9.451117E-6	1.1126229E-6
6525	0.0092738445	0.0020199933	2.7740124E-5	0.0057812766	0.0016228949	0.0089824215	0.0056948693		4.9494998E-5	5.8267471E-6	5.068326E-5	5.966634E-6	1.6883224E-5	1.9875599E-6	9.3049261E-6	1.0954127E-6	9.4491382E-6	1.11239E-6
6528.75	0.0093262903	0.0019678137	9.3470374E-5	0.0057716394	0.0015738834	0.0089669029	0.0056867442		4.9484661E-5	5.8255301E-6	5.0672674E-5	5.9653877E-6	1.6879698E-5	1.9871448E-6	9.3029826E-6	1.0951839E-6	9.4471647E-6	1.1121576E-6
6532.5	0.0093437279	0.0020092113	8.0984555E-5	0.0057780021	0.0014843262	0.0089514226	0.0056786376		4.9474352E-5	5.8243165E-6	5.0662118E-5	5.964145E-6	1.6876181E-5	1.9867308E-6	9.3010446E-6	1.0949558E-6	9.4451966E-6	1.1119259E-6
6536.25	0.0089841948	0.0019738304	0.00012682801	0.0058379021	0.0015371181	0.0089359806	0.0056705495		4.9464073E-5	5.8231065E-6	5.0651592E-5	5.9629059E-6	1.6872675E-5	1.9863181E-6	9.2991122E-6	1.0947283E-6	9.4432342E-6	1.1116949E-6
6540	0.0090285208	0.0019118272	9.1952908E-5	0.0056545815	0.001576519	0.0089205772	0.0056624802		4.9453826E-5	5.8219001E-6	5.0641099E-5	5.9616706E-6	1.686918E-5	1.9859066E-6	9.2971858E-6	1.0945015E-6	9.441278E-6	1.1114646E-6
6543.75	0.0090439617	0.0019867954	-3.5540882E-5	0.005566036	0.0015790215	0.0089052125	0.0056544297		4.9443612E-5	5.8206977E-6	5.063064E-5	5.9604394E-6	1.6865696E-5	1.9854964E-6	9.2952657E-6	1.0942755E-6	9.4393281E-6	1.1112351E-6
6547.5	0.0088596029	0.0019570317	-2.7554217E-5	0.0057850836	0.0015093777	0.0088898866	0.0056463982		4.9433433E-5	5.8194994E-6	5.0620217E-5	5.9592123E-6	1.6862223E-5	1.9850877E-6	9.2933521E-6	1.0940502E-6	9.4373848E-6	1.1110063E-6
6551.25	0.0087035967	0.0017868892	-2.5477685E-5	0.0057314931	0.0014644128	0.0088745998	0.0056383858		4.9423291E-5	5.8183054E-6	5.0609831E-5	5.9579896E-6	1.6858764E-5	1.9846804E-6	9.2914453E-6	1.0938257E-6	9.4354485E-6	1.1107783E-6
6555	0.0085376072	0.0018590886	3.045559E-5	0.0054902692	0.0014399204	0.0088593521	0.0056303927		4.9413186E-5	5.8171159E-6	5.0599484E-5	5.9567715E-6	1.6855317E-5	1.9842746E-6	9.2895457E-6	1.0936021E-6	9.4335194E-6	1.1105512E-6
6558.75	0.0086438298	0.0020390015	5.0422252E-5	0.0056497629	0.0014755143	0.0088441438	0.0056224188		4.9403121E-5	5.815931E-6	5.0589177E-5	5.9555581E-6	1.6851884E-5	1.9838704E-6	9.2876534E-6	1.0933793E-6	9.4315979E-6	1.110325E-6
6562.5	0.0090093528	0.0020564657	5.4868162E-5	0.0056042921	0.001570316	0.008828975	0.0056144644		4.9393097E-5	5.8147509E-6	5.0578912E-5	5.9543497E-6	1.6848464E-5	1.9834679E-6	9.2857689E-6	1.0931575E-6	9.4296841E-6	1.1100997E-6
6566.25	0.0089185711	0.002027128	0.00016718729	0.005287754	0.0016650645	0.0088138458	0.0056065297		4.9383115E-5	5.8135758E-6	5.0568691E-5	5.9531464E-6	1.6845059E-5	1.9830671E-6	9.2838924E-6	1.0929366E-6	9.4277785E-6	1.1098754E-6
6570	0.0088593367	0.0019665093	2.3746792E-5	0.0054380896	0.0016045255	0.0087987565	0.0055986146		4.9373177E-5	5.8124059E-6	5.0558514E-5	5.9519484E-6	1.684167E-5	1.982668E-6	9.2820241E-6	1.0927166E-6	9.4258813E-6	1.1096521E-6
