H	Ext	Back	LR	SR	
7470	2.8749401E-6	5.7498802E-8	50	1.0552836	
7473.75	1.3472394E-6	2.6944788E-8	50	1.0259126	
7477.5	2.9033174E-6	5.8066349E-8	50	1.0558548	
7481.25	2.1798549E-6	4.3597099E-8	50	1.0419463	
7485	-1.3068811E-6	-2.6137623E-8	50	0.97484628	
7488.75	-1.5547275E-6	-3.109455E-8	50	0.970069	
7492.5	1.6649267E-6	3.3298533E-8	50	1.03206	
7496.25	4.4592615E-6	8.9185231E-8	50	1.085888	
7500	9.4781824E-7	1.8956365E-8	50	1.0182598	
7503.75	-8.0010214E-7	-1.6002043E-8	50	0.98458234	
7507.5	1.8817128E-6	3.7634256E-8	50	1.0362684	
7511.25	3.5600043E-6	7.1200087E-8	50	1.0686322	
7515	1.9264818E-6	3.8529637E-8	50	1.0371488	
7518.75	5.6216753E-7	1.1243351E-8	50	1.010843	
7522.5	1.9715343E-6	3.9430686E-8	50	1.0380355	
7526.25	1.8931981E-6	3.7863963E-8	50	1.0365328	
7530	1.0112002E-8	2.0224005E-10	50	1.0001952	
7533.75	2.0234348E-6	4.0468696E-8	50	1.0390643	
7537.5	4.4245819E-6	8.8491638E-8	50	1.0854408	
7541.25	3.4099977E-6	6.8199954E-8	50	1.0658641	
7545	2.1831539E-6	4.3663079E-8	50	1.0421775	
7548.75	2.8606771E-6	5.7213541E-8	50	1.0552798	
7552.5	3.5254137E-6	7.0508274E-8	50	1.068141	
7556.25	3.3022856E-6	6.6045713E-8	50	1.0638431	
7560	4.8609509E-6	9.7219018E-8	50	1.0939984	
7563.75	4.4983779E-6	8.9967558E-8	50	1.0870072	
7567.5	1.76713E-6	3.53426E-8	50	1.0341875	
7571.25	9.2559622E-7	1.8511924E-8	50	1.017911	
7575	2.0070885E-6	4.014177E-8	50	1.0388475	
7578.75	3.0890621E-6	6.1781242E-8	50	1.0598029	
7582.5	2.4357926E-6	4.8715852E-8	50	1.0471666	
7586.25	1.9061012E-8	3.8122024E-10	50	1.0003692	
7590	-1.4407636E-7	-2.8815271E-9	50	0.99720886	
7593.75	1.5607817E-6	3.1215635E-8	50	1.0302433	
7597.5	1.597696E-6	3.1953921E-8	50	1.0309655	
7601.25	1.3573533E-6	2.7147066E-8	50	1.0263132	
7605	1.8452206E-6	3.6904411E-8	50	1.0357788	
7608.75	3.1023869E-6	6.2047739E-8	50	1.0601686	
7612.5	4.5900921E-6	9.1801841E-8	50	1.0890413	
7616.25	3.5669838E-6	7.1339677E-8	50	1.0692097	
7620	4.7042125E-6	9.408425E-8	50	1.0912952	
7623.75	4.3344087E-6	8.6688174E-8	50	1.0841369	
7627.5	1.6073624E-6	3.2147249E-8	50	1.031208	
7631.25	3.4077785E-7	6.8155569E-9	50	1.0066179	
7635	1.9856389E-6	3.9712779E-8	50	1.0385692	
7638.75	4.5174701E-6	9.0349402E-8	50	1.0877668	
7642.5	5.9790204E-6	1.1958041E-7	50	1.1161874	
7646.25	3.1019217E-6	6.2038434E-8	50	1.0602912	
7650	1.5453188E-6	3.0906377E-8	50	1.0300424	
7653.75	1.5478109E-6	3.0956218E-8	50	1.0300973	
7657.5	-5.4476646E-7	-1.0895329E-8	50	0.9894047	
7661.25	1.1701755E-6	2.340351E-8	50	1.0227639	
7665	1.9476219E-6	3.8952437E-8	50	1.037896	
7668.75	5.9308332E-7	1.1861666E-8	50	1.0115424	
7672.5	1.8849471E-6	3.7698943E-8	50	1.0366921	
7676.25	3.5052124E-6	7.0104247E-8	50	1.0682464	
7680	1.8146135E-6	3.629227E-8	50	1.0353379	
7683.75	3.1463619E-7	6.2927239E-9	50	1.0061285	
7687.5	3.8991727E-7	7.7983453E-9	50	1.0075965	
7691.25	2.4864272E-6	4.9728543E-8	50	1.0484515	
7695	3.6891928E-6	7.3783855E-8	50	1.0719042	
7698.75	3.4448088E-6	6.8896176E-8	50	1.0671551	
7702.5	2.1690239E-6	4.3380479E-8	50	1.0422931	
7706.25	3.4040555E-6	6.808111E-8	50	1.0663884	
7710	4.2319594E-6	8.4639188E-8	50	1.082552	
7713.75	3.0387197E-6	6.0774394E-8	50	1.059288	
7717.5	2.6066648E-6	5.2133297E-8	50	1.0508688	
7721.25	1.4097268E-6	2.8194537E-8	50	1.0275164	
7725	-1.5047208E-6	-3.0094417E-8	50	0.97062334	
7728.75	-4.5195594E-6	-9.0391188E-8	50	0.91174641	
7732.5	-1.9319347E-6	-3.8638695E-8	50	0.96226725	
7736.25	1.6371984E-6	3.2743969E-8	50	1.0319828	
7740	6.0651371E-7	1.2130274E-8	50	1.0118507	
7743.75	8.7169252E-7	1.743385E-8	50	1.0170356	
7747.5	1.1392596E-6	2.2785192E-8	50	1.0222693	
7751.25	-1.426162E-7	-2.852324E-9	50	0.99721169	
7755	-2.2983371E-6	-4.5966742E-8	50	0.95505565	
7758.75	-2.3293321E-6	-4.6586642E-8	50	0.95444022	
7762.5	6.6934569E-7	1.3386914E-8	50	1.0130945	
7766.25	1.8497886E-6	3.6995773E-8	50	1.0361951	
7770	1.3871224E-6	2.7742447E-8	50	1.0271476	
7773.75	2.0463595E-6	4.092719E-8	50	1.0400578	
7777.5	2.69928E-6	5.39856E-8	50	1.0528495	
7781.25	1.9642839E-6	3.9285678E-8	50	1.0384668	
7785	1.8492522E-6	3.6985044E-8	50	1.0362215	
7788.75	-3.3123521E-7	-6.6247042E-9	50	0.99351075	
7792.5	-1.2569076E-6	-2.5138152E-8	50	0.97537085	
7796.25	1.1666743E-7	2.3333487E-9	50	1.0022866	
7800	1.095211E-6	2.1904219E-8	50	1.0214694	
7803.75	1.1643352E-6	2.3286704E-8	50	1.0228291	
7807.5	1.2380386E-6	2.4760772E-8	50	1.0242791	
7811.25	1.9344533E-6	3.8689066E-8	50	1.0379441	
7815	9.7390814E-7	1.9478163E-8	50	1.019107	
7818.75	1.3029341E-6	2.6058682E-8	50	1.0255673	
7822.5	2.7082786E-6	5.4165572E-8	50	1.0531549	
7826.25	3.373319E-6	6.7466381E-8	50	1.0662209	
7830	5.3652043E-6	1.0730409E-7	50	1.1053444	
7833.75	4.9134392E-6	9.8268783E-8	50	1.0964936	
7837.5	8.2926214E-7	1.6585243E-8	50	1.0162889	
7841.25	-6.8335453E-7	-1.3667091E-8	50	0.98657437	
7845	1.1534453E-6	2.3068905E-8	50	1.0226659	
7848.75	1.4111326E-6	2.8222652E-8	50	1.0277352	
7852.5	8.7449711E-7	1.7489942E-8	50	1.0171914	
7856.25	1.0687683E-6	2.1375366E-8	50	1.0210147	
7860	1.7615534E-6	3.5231068E-8	50	1.0346436	
7863.75	1.5917091E-6	3.1834183E-8	50	1.0313097	
7867.5	-1.1671716E-7	-2.3343432E-9	50	0.99770365	
7871.25	6.3945772E-7	1.2789154E-8	50	1.0125835	
7875	3.9608411E-6	7.9216821E-8	50	1.077959	
7878.75	1.4327321E-6	2.8654643E-8	50	1.0282054	
7882.5	-1.4706517E-6	-2.9413034E-8	50	0.97104224	
7886.25	5.1642497E-7	1.0328499E-8	50	1.0101707	
7890	1.7109616E-6	3.4219233E-8	50	1.0337032	
7893.75	7.2343475E-7	1.4468695E-8	50	1.0142534	
7897.5	1.8294424E-6	3.6588847E-8	50	1.0360518	
7901.25	2.3786473E-6	4.7572946E-8	50	1.0468842	
7905	2.2411035E-6	4.4822071E-8	50	1.0441821	
7908.75	1.9579515E-6	3.915903E-8	50	1.0386078	
7912.5	1.0283877E-6	2.0567754E-8	50	1.0202824	
7916.25	2.2913493E-6	4.5826987E-8	50	1.0452003	
7920	3.8256572E-6	7.6513144E-8	50	1.0754823	
7923.75	1.4013327E-6	2.8026655E-8	50	1.0276547	
7927.5	5.432212E-8	1.0864424E-9	50	1.0010722	
7931.25	2.1301579E-6	4.2603158E-8	50	1.042055	
7935	3.603095E-6	7.20619E-8	50	1.0711493	
7938.75	3.3492631E-6	6.6985262E-8	50	1.0661506	
7942.5	9.836145E-7	1.967229E-8	50	1.0194312	
7946.25	-1.9337527E-8	-3.8675055E-10	50	0.99961791	
7950	1.6848753E-6	3.3697506E-8	50	1.0332982	
7953.75	3.5028838E-6	7.0057676E-8	50	1.0692418	
7957.5	2.6747338E-6	5.3494676E-8	50	1.0528826	
7961.25	3.9569335E-6	7.9138671E-8	50	1.0782494	
7965	2.6439823E-6	5.2879646E-8	50	1.0522962	
7968.75	-4.0302243E-7	-8.0604485E-9	50	0.99202683	
7972.5	1.9495704E-6	3.8991408E-8	50	1.0385772	
7976.25	3.9883865E-6	7.976773E-8	50	1.0789368	
7980	3.05026E-6	6.10052E-8	50	1.0603823	
7983.75	1.9975132E-6	3.9950264E-8	50	1.0395506	
7987.5	1.0192441E-6	2.0384881E-8	50	1.0201851	
7991.25	2.8449684E-6	5.6899368E-8	50	1.0563536	
7995	2.3250884E-6	4.6501768E-8	50	1.0460653	
7998.75	-2.3623911E-7	-4.7247823E-9	50	0.99531859	
