z_m,T_K,T_C,p_Pa,p_hPa
0.0,295.15,22.0,102100.0,1021.0
3.75,295.12562499999996,21.97562499999998,102055.69007401723,1020.5569007401723
7.5,295.10125,21.951250000000016,102011.3957204908,1020.1139572049079
11.25,295.076875,21.926874999999995,101967.11693523328,1019.6711693523328
15.0,295.05249999999995,21.902499999999975,101922.85371405829,1019.228537140583
18.75,295.028125,21.87812500000001,101878.60605278023,1018.7860605278023
22.5,295.00374999999997,21.85374999999999,101834.37394721399,1018.3437394721399
26.25,294.979375,21.829375000000027,101790.15739317554,1017.9015739317554
30.0,294.955,21.805000000000007,101745.95638648146,1017.4595638648145
33.75,294.93062499999996,21.780624999999986,101701.7709229492,1017.0177092294921
37.5,294.90625,21.756250000000023,101657.60099839707,1016.5760099839707
41.25,294.881875,21.731875000000002,101613.44660864386,1016.1344660864386
45.0,294.85749999999996,21.707499999999982,101569.30774950936,1015.6930774950936
48.75,294.833125,21.683125000000018,101525.18441681434,1015.2518441681434
52.5,294.80875,21.658749999999998,101481.07660637985,1014.8107660637985
56.25,294.78437499999995,21.634374999999977,101436.98431402809,1014.3698431402809
60.0,294.76,21.610000000000014,101392.90753558198,1013.9290753558198
63.75,294.73562499999997,21.585624999999993,101348.84626686509,1013.4884626686509
67.5,294.71124999999995,21.561249999999973,101304.80050370189,1013.0480050370189
71.25,294.686875,21.53687500000001,101260.77024191774,1012.6077024191774
75.0,294.66249999999997,21.51249999999999,101216.75547733836,1012.1675547733836
78.75,294.638125,21.488125000000025,101172.75620579073,1011.7275620579073
82.5,294.61375,21.463750000000005,101128.77242310229,1011.2877242310228
86.25,294.58937499999996,21.439374999999984,101084.80412510138,1010.8480412510138
90.0,294.565,21.41500000000002,101040.85130761728,1010.4085130761728
93.75,294.540625,21.390625,100996.91396647957,1009.9691396647956
97.5,294.51624999999996,21.36624999999998,100952.99209751912,1009.5299209751912
101.25,294.491875,21.341875000000016,100909.08569656748,1009.0908569656748
105.0,294.4675,21.317499999999995,100865.19475945659,1008.6519475945659
108.75,294.44312499999995,21.293124999999975,100821.3192820196,1008.213192820196
112.5,294.41875,21.26875000000001,100777.45926009033,1007.7745926009032
116.25,294.39437499999997,21.24437499999999,100733.61468950321,1007.3361468950321
120.0,294.37,21.220000000000027,100689.7855660938,1006.8978556609379
123.75,294.345625,21.195625000000007,100645.97188569792,1006.4597188569792
127.5,294.32124999999996,21.171249999999986,100602.17364415259,1006.0217364415258
131.25,294.296875,21.146875000000023,100558.39083729555,1005.5839083729555
135.0,294.2725,21.122500000000002,100514.62346096511,1005.1462346096512
138.75,294.24812499999996,21.098124999999982,100470.87151100059,1004.7087151100059
142.5,294.22375,21.073750000000018,100427.13498324201,1004.2713498324201
146.25,294.199375,21.049374999999998,100383.41387353002,1003.8341387353003
150.0,294.17499999999995,21.024999999999977,100339.70817770627,1003.3970817770627
153.75,294.150625,21.000625000000014,100296.0178916132,1002.960178916132
157.5,294.12624999999997,20.976249999999993,100252.34301109365,1002.5234301109365
161.25,294.10187499999995,20.951874999999973,100208.68353199166,1002.0868353199165
165.0,294.0775,20.92750000000001,100165.03945015195,1001.6503945015195
168.75,294.05312499999997,20.90312499999999,100121.41076141981,1001.2141076141982
172.5,294.02875,20.878750000000025,100077.79746164168,1000.7779746164167
176.25,294.004375,20.854375000000005,100034.19954666427,1000.3419954666427
180.0,293.97999999999996,20.829999999999984,99990.61701233544,999.9061701233544
183.75,293.955625,20.80562500000002,99947.04985450394,999.4704985450394
187.5,293.93125,20.78125,99903.49806901885,999.0349806901885
191.25,293.90687499999996,20.75687499999998,99859.96165173034,998.5996165173034
195.0,293.8825,20.732500000000016,99816.44059848935,998.1644059848935
198.75,293.858125,20.708124999999995,99772.93490514744,997.7293490514744
202.5,293.83374999999995,20.683749999999975,99729.44456755706,997.2944456755706
206.25,293.809375,20.65937500000001,99685.96958157155,996.8596958157156
210.0,293.78499999999997,20.63499999999999,99642.50994304467,996.4250994304467
213.75,293.760625,20.610625000000027,99599.06564783133,995.9906564783133
217.5,293.73625,20.586250000000007,99555.63669178695,995.5563669178695
221.25,293.71187499999996,20.561874999999986,99512.22307076788,995.1222307076788
225.0,293.6875,20.537500000000023,99468.82478063134,994.6882478063135
228.75,293.663125,20.513125000000002,99425.44181723491,994.2544181723491
232.5,293.63874999999996,20.488749999999982,99382.07417643741,993.8207417643741
236.25,293.614375,20.464375000000018,99338.72185409834,993.3872185409834
240.0,293.59,20.439999999999998,99295.38484607765,992.9538484607765
243.75,293.56562499999995,20.415624999999977,99252.06314823641,992.5206314823641
247.5,293.54125,20.391250000000014,99208.7567564364,992.087567564364
251.25,293.51687499999997,20.366874999999993,99165.46566654004,991.6546566654004
255.0,293.49249999999995,20.342499999999973,99122.18987441066,991.2218987441066
258.75,293.468125,20.31812500000001,99078.92937591243,990.7892937591242
262.5,293.44374999999997,20.29374999999999,99035.68416690995,990.3568416690995
266.25,293.419375,20.269375000000025,98992.454243269,989.92454243269
270.0,293.395,20.245000000000005,98949.23960085589,989.4923960085589
273.75,293.37062499999996,20.220624999999984,98906.04023553779,989.0604023553778
277.5,293.34625,20.19625000000002,98862.8561431827,988.6285614318269
281.25,293.321875,20.171875,98819.68731965922,988.1968731965922
285.0,293.29749999999996,20.14749999999998,98776.53376083689,987.7653376083689
288.75,293.273125,20.123125000000016,98733.39546258605,987.3339546258605
292.5,293.24875,20.098749999999995,98690.27242077755,986.9027242077755
296.25,293.22437499999995,20.074374999999975,98647.16463128327,986.4716463128327
